# ----------------------------------------
# Alle websitegegevens
# User Explorer
# 20210201-20210228
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1202678990.1613545386,1,00:00:00,100.00%,US$0.00,0,0.00%
1203811163.1613422030,1,00:00:00,100.00%,US$0.00,0,0.00%
120433410.1612256874,1,00:00:00,100.00%,US$0.00,0,0.00%
1207067312.1556972010,1,00:00:10,0.00%,US$0.00,0,0.00%
1216382665.1612463301,1,00:00:00,100.00%,US$0.00,0,0.00%
121735583.1614302886,1,00:00:00,100.00%,US$0.00,0,0.00%
1218391244.1613480954,1,00:00:16,0.00%,US$0.00,0,0.00%
1218897850.1556972253,1,00:00:10,0.00%,US$0.00,0,0.00%
1221772487.1556971871,1,00:00:01,0.00%,US$0.00,0,0.00%
1222183706.1613374708,1,00:00:00,100.00%,US$0.00,0,0.00%
1226224842.1612814028,1,00:00:00,100.00%,US$0.00,0,0.00%
1228731133.1556971619,1,00:00:10,0.00%,US$0.00,0,0.00%
1229412300.1613500162,1,00:00:00,100.00%,US$0.00,0,0.00%
1229609563.1556972693,1,00:00:10,0.00%,US$0.00,0,0.00%
1229917936.1612725263,1,00:00:00,100.00%,US$0.00,0,0.00%
123204537.1556972403,1,00:00:01,0.00%,US$0.00,0,0.00%
1232629515.1556972002,1,00:00:10,0.00%,US$0.00,0,0.00%
1233781077.1613490488,1,00:00:00,100.00%,US$0.00,0,0.00%
1236448366.1612356836,1,00:00:00,100.00%,US$0.00,0,0.00%
1236595408.1612567788,1,00:00:45,0.00%,US$0.00,0,0.00%
1236857046.1613379310,1,00:00:00,100.00%,US$0.00,0,0.00%
1238451810.1614062327,1,00:00:00,100.00%,US$0.00,0,0.00%
1243278912.1613483525,1,00:08:05,0.00%,US$0.00,0,0.00%
1244536965.1612945188,1,00:03:34,0.00%,US$0.00,0,0.00%
1245543017.1614396766,1,00:00:00,100.00%,US$0.00,0,0.00%
1247363559.1614002221,1,00:00:00,100.00%,US$0.00,0,0.00%
1249662292.1613504446,1,00:02:31,0.00%,US$0.00,0,0.00%
1252532501.1613334167,1,00:00:00,100.00%,US$0.00,0,0.00%
1253244192.1556971696,1,00:00:01,0.00%,US$0.00,0,0.00%
125732443.1614244677,1,00:00:00,100.00%,US$0.00,0,0.00%
1259925364.1556972203,1,00:00:10,0.00%,US$0.00,0,0.00%
1263172573.1556971873,1,00:00:01,0.00%,US$0.00,0,0.00%
1266265877.1613548642,1,00:00:00,100.00%,US$0.00,0,0.00%
1266552396.1612888076,1,00:06:59,0.00%,US$0.00,0,0.00%
1267671644.1613584125,1,00:00:00,100.00%,US$0.00,0,0.00%
1268320194.1612152687,1,00:00:14,0.00%,US$0.00,0,0.00%
127029746.1556972434,1,00:00:10,0.00%,US$0.00,0,0.00%
1271572558.1613383358,1,00:02:25,0.00%,US$0.00,0,0.00%
1272157624.1556971908,1,00:00:10,0.00%,US$0.00,0,0.00%
1273500548.1556972147,1,00:00:01,0.00%,US$0.00,0,0.00%
1274292256.1613823608,1,00:01:06,0.00%,US$0.00,0,0.00%
1274869417.1612776038,1,00:00:00,100.00%,US$0.00,0,0.00%
1275774331.1613132613,1,00:00:00,100.00%,US$0.00,0,0.00%
127607535.1556971680,1,00:00:10,0.00%,US$0.00,0,0.00%
1276972811.1612268601,1,00:02:21,0.00%,US$0.00,0,0.00%
1277176676.1556971912,1,00:00:09,0.00%,US$0.00,0,0.00%
127936924.1556972321,1,00:00:10,0.00%,US$0.00,0,0.00%
1279406264.1614091468,1,00:00:00,100.00%,US$0.00,0,0.00%
1281233954.1612990405,1,00:00:00,100.00%,US$0.00,0,0.00%
1281385660.1556972071,1,00:00:09,0.00%,US$0.00,0,0.00%
1283027522.1612457450,1,00:00:00,100.00%,US$0.00,0,0.00%
1284882974.1556972481,1,00:00:10,0.00%,US$0.00,0,0.00%
1284885784.1556972655,1,00:00:10,0.00%,US$0.00,0,0.00%
1286274762.1556972697,1,00:00:01,0.00%,US$0.00,0,0.00%
1286583093.1556971447,1,00:00:10,0.00%,US$0.00,0,0.00%
1293598845.1613543718,1,00:00:31,0.00%,US$0.00,0,0.00%
1295861738.1556971603,1,00:00:10,0.00%,US$0.00,0,0.00%
1298317187.1613487557,1,00:02:16,0.00%,US$0.00,0,0.00%
1299131174.1613471942,1,00:00:00,100.00%,US$0.00,0,0.00%
1300277120.1556971799,1,00:00:09,0.00%,US$0.00,0,0.00%
