Key,Prods UPC,Prods Moco,Prods Model Name,Prods Model Code,Prods Model Family,Prods Brand,Prods Category 1,Prods Category 2,Prods Category 3,Prods Business Theme,Prods Business Story,Prods Gender,Prods Shape,Prods Size,Prods Lens Color,Prods Le0s Polarized,Prods Lens Technology,Prods Front Color,Prods Frame Technology,Prods Asian Fit,Prods Customizable,Prods E0gravable,Prods Web Exclusive,Prods Release,Prods Lens Correction Type,Prods Roxable,Prods Collection,Prods Rox,Prods Custom
889652205809,889652205809,06E000184__1330L1,6.00E+184,6.00E+184,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,40,,0,Solid Color,Black,Acetate,Global,,,,201901,,0,,0,0
889652272795,889652272795,06E000214__4240S1,6.00E+214,6.00E+214,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,61,,0,Solid Color,Silver,Metal,Global,,,,201911,,0,,0,0
889652272856,889652272856,06E000213__2840L8,6.00E+213,6.00E+213,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,57,,0,Solid Color,Gunmetal,Metal,Global,,,,201911,,0,,0,0
889652273198,889652273198,06E000212__2880L8,6.00E+212,6.00E+212,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,42,,0,Solid Color,Gunmetal,Injected,Global,,,,201911,,0,,0,0
889652215020,889652215020,06E000192__3700S1,6.00E+192,6.00E+192,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,90,,0,Solid Color,Violet,Injected,Global,,,,201809,,0,,0,0
889652231044,889652231044,06E000188__4402D1,6.00E+188,6.00E+188,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,FEMALE,Round,58,,0,Solid Color,Tortoise,Acetate,Global,,,,201901,,0,,0,0
889652215136,889652215136,06E000191__4100V1,6.00E+191,6.00E+191,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,90,,0,Solid Color,Silver,Injected,Global,,,,201809,,0,,0,0
889652272825,889652272825,06E000214__4240B5,6.00E+214,6.00E+214,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,61,,0,Solid Color,Silver,Metal,Global,,,,201911,,0,,0,0
889652272863,889652272863,06E000213__1580L8,6.00E+213,6.00E+213,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,57,,0,Solid Color,Blue,Metal,Global,,,,201911,,0,,0,0
889652273341,889652273341,06E000212__1580B1,6.00E+212,6.00E+212,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,42,,0,Solid Color,Blue,Injected,Global,,,,201911,,0,,0,0
889652272696,889652272696,06E000214__1330L1,6.00E+214,6.00E+214,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,61,,0,Solid Color,Black,Metal,Global,,,,201911,,0,,0,0
889652215044,889652215044,06E000192__5000Y1,6.00E+192,6.00E+192,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,90,,0,Solid Color,Yellow,Injected,Global,,,,201809,,0,,0,0
889652272849,889652272849,06E000213__4240L8,6.00E+213,6.00E+213,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,57,,0,Solid Color,Gold,Metal,Global,,,,201911,,0,,0,0
889652215143,889652215143,06E000191__3700S1,6.00E+191,6.00E+191,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,90,,0,Solid Color,Violet,Injected,Global,,,,201809,,0,,0,0
889652273051,889652273051,06E000212__1330L1,6.00E+212,6.00E+212,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,42,,0,Solid Color,Black,Injected,Global,,,,201911,,0,,0,0
192337016547,192337016547,0E4000020__1330B1,E4000020,0E4000020,,Loewe,Eyewear,SUN,,,,FEMALE,Round,50,,0,Solid Color,Black,Acetate,Global,,,,201902,,0,,0,0
886895416894,886895416894,07R000142__1140D1,7R000142,07R000142,,Marni,Eyewear,SUN,,,,FEMALE,Rectangle,54,,0,Solid Color,Yellow,Acetate,Global,,,,201907,,0,,0,0
192337032349,192337032349,0E4000025__3900S1,E4000025,0E4000025,,Loewe,Eyewear,SUN,,,,FEMALE,Irregular,53,,0,Solid Color,Red,Acetate,Global,,,,201911,,0,,0,0
886895394321,886895394321,07R000139__4920D1,7R000139,07R000139,,Marni,Eyewear,SUN,,,,FEMALE,Rectangle,52,,0,Solid Color,White,Acetate,Global,,,,201901,,0,,0,0
192337032363,192337032363,0E4000026__4800L1,E4000026,0E4000026,,Loewe,Eyewear,SUN,,,,FEMALE,Butterfly,50,,0,Solid Color,White,Acetate,Global,,,,201911,,0,,0,0
