# ----------------------------------------
# Alle websitegegevens
# Gebruikers-verkenner
# 20190101-20190408
# ----------------------------------------

Klant-ID,Sessies,Gem. sessieduur,Bouncepercentage,Opbrengst,Transacties,Doelconversieratio
603827838.1553087398,4,00:00:08,"75,00%","US$ 0,00",0,"0,00%"
606315835.1548929625,4,00:00:08,"50,00%","US$ 0,00",0,"0,00%"
611233675.1553682712,4,00:06:31,"0,00%","US$ 0,00",0,"0,00%"
641918467.1491464773,4,00:07:38,"50,00%","US$ 0,00",0,"0,00%"
704051665.1547798898,4,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
7265727.1549879609,4,00:00:34,"0,00%","US$ 0,00",0,"0,00%"
761980509.1552810568,4,00:07:17,"25,00%","US$ 0,00",0,"0,00%"
780918017.1552991349,4,00:18:01,"25,00%","US$ 0,00",0,"0,00%"
841525073.1551998325,4,00:00:22,"75,00%","US$ 0,00",0,"0,00%"
88153475.1553860668,4,00:00:07,"75,00%","US$ 0,00",0,"0,00%"
881849141.1543303450,4,00:00:19,"25,00%","US$ 0,00",0,"0,00%"
883960620.1548254628,4,00:09:11,"25,00%","US$ 0,00",0,"0,00%"
889843606.1549370566,4,00:00:11,"50,00%","US$ 0,00",0,"0,00%"
921758610.1551866249,4,00:01:05,"0,00%","US$ 0,00",0,"0,00%"
924217377.1544788982,4,00:12:36,"25,00%","US$ 0,00",0,"0,00%"
929012083.1553177115,4,00:00:05,"75,00%","US$ 0,00",0,"0,00%"
1020049688.1550236158,3,00:04:48,"0,00%","US$ 0,00",0,"0,00%"
1059430119.1543934340,3,00:09:45,"0,00%","US$ 0,00",0,"0,00%"
1085206276.1550497494,3,00:02:49,"66,67%","US$ 0,00",0,"0,00%"
1130319855.1550007121,3,00:00:39,"66,67%","US$ 0,00",0,"0,00%"
1135954383.1550916375,3,00:03:16,"66,67%","US$ 0,00",0,"0,00%"
1158004953.1549550128,3,00:14:48,"66,67%","US$ 0,00",0,"0,00%"
1219907412.1547032105,3,00:14:18,"0,00%","US$ 0,00",0,"0,00%"
1248303750.1547054643,3,00:00:16,"66,67%","US$ 0,00",0,"0,00%"
1250872873.1554193020,3,00:01:51,"0,00%","US$ 0,00",0,"0,00%"
1264312133.1552578827,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1269559866.1547195905,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1279820033.1547495340,3,00:00:32,"66,67%","US$ 0,00",0,"0,00%"
1345152239.1547844581,3,00:00:54,"66,67%","US$ 0,00",0,"0,00%"
1369054356.1541786066,3,00:06:47,"0,00%","US$ 0,00",0,"0,00%"
1372338394.1554242092,3,00:01:40,"0,00%","US$ 0,00",0,"0,00%"
1393831859.1553382958,3,00:04:00,"0,00%","US$ 0,00",0,"0,00%"
1406249435.1552821713,3,00:00:05,"66,67%","US$ 0,00",0,"0,00%"
1412208571.1554372735,3,00:00:40,"66,67%","US$ 0,00",0,"0,00%"
1424351444.1553107271,3,00:11:46,"0,00%","US$ 0,00",0,"0,00%"
1438345710.1547451799,3,00:03:30,"33,33%","US$ 0,00",0,"0,00%"
1441856588.1548708067,3,00:00:03,"66,67%","US$ 0,00",0,"0,00%"
1465415895.1550248544,3,00:14:18,"33,33%","US$ 0,00",0,"0,00%"
1466841235.1549125178,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1474491121.1552848760,3,00:03:12,"0,00%","US$ 0,00",0,"0,00%"
1475804176.1554452213,3,00:00:21,"33,33%","US$ 0,00",0,"0,00%"
149296843.1544824782,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1493950383.1553581123,3,00:06:08,"0,00%","US$ 0,00",0,"0,00%"
1500624812.1546602095,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1515502210.1550338377,3,00:00:34,"0,00%","US$ 0,00",0,"0,00%"
1571544984.1554107945,3,00:08:37,"33,33%","US$ 0,00",0,"0,00%"
158576451.1552061564,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1593908837.1548063077,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1609328147.1548268382,3,00:02:00,"66,67%","US$ 0,00",0,"0,00%"
1615776751.1552046630,3,00:04:06,"0,00%","US$ 0,00",0,"0,00%"
1634777151.1552304053,3,00:03:28,"0,00%","US$ 0,00",0,"0,00%"
1701857638.1547715015,3,00:00:48,"66,67%","US$ 0,00",0,"0,00%"
172087769.1546432573,3,00:01:44,"33,33%","US$ 0,00",0,"0,00%"
1725465850.1548243231,3,00:05:53,"33,33%","US$ 0,00",0,"0,00%"
1731888833.1552999012,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1741996543.1534029604,3,00:01:16,"33,33%","US$ 0,00",0,"0,00%"
1772278799.1550877955,3,00:02:32,"33,33%","US$ 0,00",0,"0,00%"
1794158886.1553454996,3,00:00:46,"33,33%","US$ 0,00",0,"0,00%"
1831251787.1548933169,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1864832584.1552990706,3,00:02:14,"33,33%","US$ 0,00",0,"0,00%"
1870539377.1553696204,3,00:13:45,"0,00%","US$ 0,00",0,"0,00%"
1876484199.1551299312,3,00:09:12,"33,33%","US$ 0,00",0,"0,00%"
1879945843.1548455394,3,00:01:11,"66,67%","US$ 0,00",0,"0,00%"
1889162519.1537888669,3,00:00:49,"33,33%","US$ 0,00",0,"0,00%"
193351238.1548314517,3,00:05:28,"0,00%","US$ 0,00",0,"0,00%"
1991653392.1510172597,3,00:00:09,"0,00%","US$ 0,00",0,"0,00%"
2059524031.1521380940,3,00:00:11,"33,33%","US$ 0,00",0,"0,00%"
2070809024.1547906478,3,00:04:16,"66,67%","US$ 0,00",0,"0,00%"
2074351681.1547641431,3,00:06:32,"33,33%","US$ 0,00",0,"0,00%"
2127975012.1536677225,3,00:06:34,"0,00%","US$ 0,00",0,"0,00%"
2132334014.1548147357,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
238385331.1553588153,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
247300507.1552300990,3,00:00:03,"66,67%","US$ 0,00",0,"0,00%"
249480245.1546600102,3,00:01:02,"0,00%","US$ 0,00",0,"0,00%"
263854607.1551169905,3,00:00:07,"33,33%","US$ 0,00",0,"0,00%"
264637257.1543251045,3,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
29032421.1551724143,3,00:01:13,"33,33%","US$ 0,00",0,"0,00%"
30062774.1552659301,3,00:05:04,"0,00%","US$ 0,00",0,"0,00%"
304540073.1549034085,3,00:13:20,"0,00%","US$ 0,00",0,"0,00%"
308404038.1545323272,3,00:02:16,"0,00%","US$ 0,00",0,"0,00%"
324085313.1549448829,3,00:00:12,"33,33%","US$ 0,00",0,"0,00%"
328448269.1547753027,3,00:02:24,"33,33%","US$ 0,00",0,"0,00%"
